"","Date",".key","Forecast","holiday_name_event"
"1",2022-01-02,"actual",23,NA
"2",2022-01-03,"actual",139,NA
"3",2022-01-04,"actual",102,NA
"4",2022-01-05,"actual",92,NA
"5",2022-01-06,"actual",96,NA
"6",2022-01-07,"actual",90,NA
"7",2022-01-08,"actual",38,NA
"8",2022-01-09,"actual",24,NA
"9",2022-01-10,"actual",105,NA
"10",2022-01-11,"actual",101,NA
"11",2022-01-12,"actual",111,NA
"12",2022-01-13,"actual",97,NA
"13",2022-01-14,"actual",114,NA
"14",2022-01-15,"actual",48,NA
"15",2022-01-16,"actual",14,NA
"16",2022-01-17,"actual",84,"US_MLKingsBirthday"
"17",2022-01-18,"actual",114,NA
"18",2022-01-19,"actual",116,NA
"19",2022-01-20,"actual",85,NA
"20",2022-01-21,"actual",72,NA
"21",2022-01-22,"actual",43,NA
"22",2022-01-23,"actual",20,NA
"23",2022-01-24,"actual",79,NA
"24",2022-01-25,"actual",78,NA
"25",2022-01-26,"actual",78,NA
"26",2022-01-27,"actual",87,NA
"27",2022-01-28,"actual",82,NA
"28",2022-01-29,"actual",40,NA
"29",2022-01-30,"actual",17,NA
"30",2022-01-31,"actual",116,NA
"31",2022-02-01,"actual",92,NA
"32",2022-02-02,"actual",91,NA
"33",2022-02-03,"actual",109,NA
"34",2022-02-04,"actual",101,NA
"35",2022-02-05,"actual",48,NA
"36",2022-02-06,"actual",23,NA
"37",2022-02-07,"actual",133,NA
"38",2022-02-08,"actual",108,NA
"39",2022-02-09,"actual",129,NA
"40",2022-02-10,"actual",100,NA
"41",2022-02-11,"actual",119,NA
"42",2022-02-12,"actual",43,"US_LincolnsBirthday"
"43",2022-02-13,"actual",11,NA
"44",2022-02-14,"actual",125,NA
"45",2022-02-15,"actual",119,NA
"46",2022-02-16,"actual",105,NA
"47",2022-02-17,"actual",117,NA
"48",2022-02-18,"actual",119,NA
"49",2022-02-19,"actual",168,NA
"50",2022-02-20,"actual",63,NA
"51",2022-02-21,"actual",210,"US_PresidentsDay"
"52",2022-02-22,"actual",195,"US_WashingtonsBirthday"
"53",2022-02-23,"actual",140,NA
"54",2022-02-24,"actual",128,NA
"55",2022-02-25,"actual",137,NA
"56",2022-02-26,"actual",62,NA
"57",2022-02-27,"actual",30,NA
"58",2022-02-28,"actual",251,NA
"59",2022-03-01,"actual",209,NA
"60",2022-03-02,"actual",163,NA
"61",2022-03-03,"actual",176,NA
"62",2022-03-04,"actual",183,NA
"63",2022-03-05,"actual",81,NA
"64",2022-03-06,"actual",44,NA
"65",2022-03-07,"actual",264,NA
"66",2022-03-08,"actual",244,NA
"67",2022-03-09,"actual",223,NA
"68",2022-03-10,"actual",206,NA
"69",2022-03-11,"actual",194,NA
"70",2022-03-12,"actual",97,NA
"71",2022-03-13,"actual",42,NA
"72",2022-03-14,"actual",385,NA
"73",2022-03-15,"actual",296,NA
"74",2022-03-16,"actual",259,NA
"75",2022-03-17,"actual",236,NA
"76",2022-03-18,"actual",248,NA
"77",2022-03-19,"actual",141,NA
"78",2022-03-20,"actual",60,NA
"79",2022-03-21,"actual",326,NA
"80",2022-03-22,"actual",310,NA
"81",2022-03-23,"actual",236,NA
"82",2022-03-24,"actual",302,NA
"83",2022-03-25,"actual",256,NA
"84",2022-03-26,"actual",153,NA
"85",2022-03-27,"actual",51,NA
"86",2022-03-28,"actual",345,NA
"87",2022-03-29,"actual",326,NA
"88",2022-03-30,"actual",308,NA
"89",2022-03-31,"actual",237,NA
"90",2022-04-01,"actual",272,NA
"91",2022-04-02,"actual",172,NA
"92",2022-04-03,"actual",74,NA
"93",2022-04-04,"actual",416,NA
"94",2022-04-05,"actual",318,NA
"95",2022-04-06,"actual",326,NA
"96",2022-04-07,"actual",298,NA
"97",2022-04-08,"actual",351,NA
"98",2022-04-09,"actual",160,NA
"99",2022-04-10,"actual",102,NA
"100",2022-04-11,"actual",388,NA
"101",2022-04-12,"actual",379,NA
"102",2022-04-13,"actual",308,NA
"103",2022-04-14,"actual",337,NA
"104",2022-04-15,"actual",338,"US_GoodFriday"
"105",2022-04-16,"actual",229,NA
"106",2022-04-17,"actual",66,NA
"107",2022-04-18,"actual",422,NA
"108",2022-04-19,"actual",465,NA
"109",2022-04-20,"actual",443,NA
"110",2022-04-21,"actual",402,NA
"111",2022-04-22,"actual",407,NA
"112",2022-04-23,"actual",205,NA
"113",2022-04-24,"actual",124,NA
"114",2022-04-25,"actual",538,NA
"115",2022-04-26,"actual",527,NA
"116",2022-04-27,"actual",503,NA
"117",2022-04-28,"actual",488,NA
"118",2022-04-29,"actual",460,NA
"119",2022-04-30,"actual",247,NA
"120",2022-05-01,"actual",119,NA
"121",2022-05-02,"actual",584,NA
"122",2022-05-03,"actual",512,NA
"123",2022-05-04,"actual",561,NA
"124",2022-05-05,"actual",489,NA
"125",2022-05-06,"actual",412,NA
"126",2022-05-07,"actual",252,NA
"127",2022-05-08,"actual",110,NA
"128",2022-05-09,"actual",688,NA
"129",2022-05-10,"actual",591,NA
"130",2022-05-11,"actual",600,NA
"131",2022-05-12,"actual",534,NA
"132",2022-05-13,"actual",491,NA
