"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event","Year","Month","DIM","Customer_Count"
"1",NA,"ACTUAL","actual",2022-01-02,23,NA,NA,2022-01-02,3.17805383034795,"0",2022,"Jan",31,843
"2",NA,"ACTUAL","actual",2022-01-03,139,NA,NA,2022-01-03,4.9416424226093,"0",2022,"Jan",31,843
"3",NA,"ACTUAL","actual",2022-01-04,102,NA,NA,2022-01-04,4.63472898822964,"0",2022,"Jan",31,843
"4",NA,"ACTUAL","actual",2022-01-05,92,NA,NA,2022-01-05,4.53259949315326,"0",2022,"Jan",31,843
"5",NA,"ACTUAL","actual",2022-01-06,96,NA,NA,2022-01-06,4.57471097850338,"0",2022,"Jan",31,843
"6",NA,"ACTUAL","actual",2022-01-07,90,NA,NA,2022-01-07,4.51085950651685,"0",2022,"Jan",31,843
"7",NA,"ACTUAL","actual",2022-01-08,38,NA,NA,2022-01-08,3.66356164612965,"0",2022,"Jan",31,843
"8",NA,"ACTUAL","actual",2022-01-09,24,NA,NA,2022-01-09,3.2188758248682,"0",2022,"Jan",31,843
"9",NA,"ACTUAL","actual",2022-01-10,105,NA,NA,2022-01-10,4.66343909411207,"0",2022,"Jan",31,843
"10",NA,"ACTUAL","actual",2022-01-11,101,NA,NA,2022-01-11,4.62497281328427,"0",2022,"Jan",31,843
"11",NA,"ACTUAL","actual",2022-01-12,111,NA,NA,2022-01-12,4.71849887129509,"0",2022,"Jan",31,843
"12",NA,"ACTUAL","actual",2022-01-13,97,NA,NA,2022-01-13,4.58496747867057,"0",2022,"Jan",31,843
"13",NA,"ACTUAL","actual",2022-01-14,114,NA,NA,2022-01-14,4.74493212836325,"0",2022,"Jan",31,843
"14",NA,"ACTUAL","actual",2022-01-15,48,NA,NA,2022-01-15,3.89182029811063,"0",2022,"Jan",31,843
"15",NA,"ACTUAL","actual",2022-01-16,14,NA,NA,2022-01-16,2.70805020110221,"0",2022,"Jan",31,843
"16",NA,"ACTUAL","actual",2022-01-17,84,NA,NA,2022-01-17,4.44265125649032,"US_MLKingsBirthday",2022,"Jan",31,843
"17",NA,"ACTUAL","actual",2022-01-18,114,NA,NA,2022-01-18,4.74493212836325,"0",2022,"Jan",31,843
"18",NA,"ACTUAL","actual",2022-01-19,116,NA,NA,2022-01-19,4.76217393479776,"0",2022,"Jan",31,843
"19",NA,"ACTUAL","actual",2022-01-20,85,NA,NA,2022-01-20,4.45434729625351,"0",2022,"Jan",31,843
"20",NA,"ACTUAL","actual",2022-01-21,72,NA,NA,2022-01-21,4.29045944114839,"0",2022,"Jan",31,843
"21",NA,"ACTUAL","actual",2022-01-22,43,NA,NA,2022-01-22,3.78418963391826,"0",2022,"Jan",31,843
"22",NA,"ACTUAL","actual",2022-01-23,20,NA,NA,2022-01-23,3.04452243772342,"0",2022,"Jan",31,843
"23",NA,"ACTUAL","actual",2022-01-24,79,NA,NA,2022-01-24,4.38202663467388,"0",2022,"Jan",31,843
"24",NA,"ACTUAL","actual",2022-01-25,78,NA,NA,2022-01-25,4.36944785246702,"0",2022,"Jan",31,843
"25",NA,"ACTUAL","actual",2022-01-26,78,NA,NA,2022-01-26,4.36944785246702,"0",2022,"Jan",31,843
"26",NA,"ACTUAL","actual",2022-01-27,87,NA,NA,2022-01-27,4.47733681447821,"0",2022,"Jan",31,843
"27",NA,"ACTUAL","actual",2022-01-28,82,NA,NA,2022-01-28,4.4188406077966,"0",2022,"Jan",31,843
"28",NA,"ACTUAL","actual",2022-01-29,40,NA,NA,2022-01-29,3.71357206670431,"0",2022,"Jan",31,843
